target,success,live_hosts_count,providers_count,errors_count,scan_duration_seconds
192.168.1.1,True,0,0,0,6.9141387939453125e-06
192.168.1.2,True,0,0,0,9.5367431640625e-06
192.168.1.3,True,0,0,0,6.9141387939453125e-06
192.168.1.4,True,0,0,0,6.198883056640625e-06
192.168.1.5,True,0,0,0,1.0728836059570312e-05
192.168.1.6,True,0,0,0,1.0013580322265625e-05
192.168.1.7,True,0,0,0,1.0013580322265625e-05
192.168.1.8,True,0,0,0,1.1444091796875e-05
192.168.1.9,True,0,0,0,1.2636184692382812e-05
192.168.1.10,True,0,0,0,9.5367431640625e-06
